id,pos,flr,flg,eg,er,fg,op
428,87,10500,4900,0.0332,0.35873,-0.826446,63.2768
429,24,1300,112,0.0956,3.06731,-1.2605,0.0
430,26,444,2900,0.2888,9.27177,0.165289,82.2785
431,24,456,688,0.5297,17.0029,8.68565,36.4078
432,881,6800,661,0.0934,1.37311,0.263389,38.1295
433,414,3700,3000,0.158,2.84384,-0.472739,66.123
434,149,8600,1500,0.215,3.16021,-5.0,97.6316
435,7,2100,7400,0.031,0.557823,-0.811688,62.1622
436,1200,8800,7400,0.0175,0.256944,4.40681,70.6667
437,52,1200,7400,0.0363,1.16667,-1.43335,0.0
438,138,241,289,0.5896,18.9258,1.12135,27.2109
439,15,1300,842,0.9322,29.9231,1.43678,32.0946
440,77,531,996,0.3826,12.2829,3.76915,63.6364
441,8,3300,1200,0.532,9.57576,-4.17769,29.6296
442,45,580,599,0.6445,20.6897,0.158103,24.9423
443,5,71,366,1.0,37.7465,0.797307,63.3333
444,42,357,358,0.9381,30.112,10.0,81.071
445,308,593,1300,0.2291,7.35432,-0.329131,41.3793
446,171,738,1500,0.5633,18.0819,1.18784,25.4464
447,2,1100,904,0.633,20.3182,2.51054,30.719
448,17,193,131,0.8897,28.5584,1.53218,48.7437
449,11,242,330,0.9456,30.3531,0.150602,61.8868
450,2,206,1820,1.0,50.0,0.2655,0.0
451,293,3300,3000,0.3185,5.73233,1.1661,48.2472
452,73,1600,6400,0.0183,0.586806,2.52101,50.0
453,144,2500,3800,0.0661,1.18941,10.0,60.2484
454,611,2000,3800,0.0133,0.427778,-0.85034,85.5422
455,1100,7100,6200,0.0013,0.0187793,0.5039,42.8571
456,789,6300,5100,0.0177,0.260317,2.67708,30.1887
457,96,512,3900,0.0836,2.68415,-1.07717,51.3761
458,25,485,2000,0.1998,6.41466,1.03849,0.0
459,7,209,233,1.0,35.4067,0.4403,28.125
460,174,4000,2900,0.2198,3.95556,0.442087,16.1074
461,4,71,224,1.0,50.0,0.7925,95.5357
462,11,168,212,0.41,13.1614,3.57143,0.0
463,6,214,278,1.0,37.6947,0.1695,29.2929
464,3,443,1400,0.7806,25.0564,1.39034,28.8732
465,10,245,144,0.7756,24.8979,0.534759,24.1379
466,162,972,1200,0.592,19.0043,2.4398,28.1804
467,19,397,318,0.6328,20.3141,1.99278,45.5645
468,37,1200,1382,0.7296,23.4213,1.6331,31.0208
469,51,626,1100,0.5574,17.8914,2.58792,48.5194
470,21,965,740,0.4927,15.816,3.11818,22.5694
471,11,1200,7500,0.4834,15.5167,7.45513,77.2846
472,4,258,1200,1.0,45.3488,3.05748,83.871
473,3,2700,1000,1.0,25.9012,0.759109,93.5508
474,53,752,2153,0.1929,6.1909,0.1436,32.7869
475,103,490,684,0.279,8.95692,10.0,23.7113
476,104,872,985,0.3446,11.0601,10.0,34.359
477,3,166,1100,0.7694,24.6988,-0.630429,59.6491
478,87,1500,3600,0.205,6.58148,1.30662,54.2714
479,87,1700,7500,0.0314,1.00654,0.7192,45.6522
480,142,681,705,0.1214,3.89566,0.484809,41.7476
481,40,404,398,0.3419,10.9736,1.96655,100.0
482,194,2600,1100,0.5113,9.20362,1.59236,41.7311
483,47,150,146,0.0796,2.55556,7.69889,42.8571
484,255,127,216,0.2657,8.53018,1.52625,0.0
485,31,128,228,0.1859,5.96591,4.80228,0.0
486,32,443,359,0.6263,20.1028,1.93355,44.2724
487,7,684,617,0.7355,23.6111,1.76944,59.0164
488,25,1000,931,0.7838,25.1611,0.971219,21.751
489,61,356,545,0.4604,14.7784,0.522321,46.8182
490,12,954,397,0.4082,13.1027,1.90531,63.2653
491,1100,4200,7500,0.8688,15.6376,-0.436047,91.4779
492,120,918,3600,0.0703,2.25732,-0.223409,48.0
493,10,198,204,1.0,33.8384,6.33446,29.0323
494,1,637,7200,0.8265,26.5306,10.0,100.0
495,2,241,1400,0.6011,19.2946,2.76786,0.0
496,6,220,436,0.6136,19.697,1.89055,63.0252
497,48,18300,206,0.6185,6.6793,-1.29999,91.7141
498,89,1500,2200,0.0685,2.2,1.25313,47.2727
499,24,84,312,0.1216,3.90212,3.57143,70.8333
500,66,485,2,0.3835,12.3105,5.51514,32.5843
501,18,2500,1500,1.0,21.7844,10.0,69.9656
502,2000,2000,2000,0.1296,4.16071,1.0441,17.7835
503,32,192,189,0.5652,18.1424,0.6385,25.3846
504,17,2600,735,0.6531,11.7552,1.0048,25.2646
505,16,1200,798,0.5607,18.0,1.65289,44.5361
506,729,14100,747,0.0273,0.295114,-0.128041,64.6766
507,3,441,331,1.0,41.9501,1.65514,33.209
508,1900,4400,5600,0.0755,1.35985,-0.411523,31.9588
509,17,95,286,0.5504,17.6692,2.86512,62.2642
510,115,712,491,0.4846,15.5568,0.712338,34.901
511,236,351,1900,0.106,3.40297,5.77084,37.931
512,96,435,389,0.0975,3.12899,-0.0807646,58.75
513,480,2000,4200,0.2883,9.25294,4.41176,15.4624
514,454,326,730,0.0823,2.64145,0.6236,43.2836
515,29,10900,6500,0.1503,1.62283,-2.48653,92.609
516,5,892,822,0.6489,20.8296,-0.163599,78.9203
517,240,7600,125,0.0649,0.954135,0.485515,53.6264
518,319,4700,1500,0.2915,5.24781,1.21753,67.5258
519,443,1300,1700,0.1452,4.66239,1.47059,37.9661
520,58,618,6100,0.0893,2.86767,-0.508417,69.3878
521,239,803,2800,0.1841,5.9084,-0.650863,60.8844
522,52,483,1800,0.2082,6.68277,-0.220418,42.236
523,421,1300,7500,0.0261,0.837607,1.45349,23.7288
524,67,2000,3792,0.0807,2.59167,1.3189,44.898
525,12,441,1700,0.2937,9.42933,-1.22265,95.3804
526,27,4900,1800,0.076,1.36735,-0.713012,0.0
527,435,172,1200,0.0654,2.09948,-0.304311,33.3333
528,498,4300,4300,0.0882,1.58786,0.438212,54.4
529,224,1100,7400,0.076,2.43939,1.75439,23.5294
530,53,5300,7400,0.0247,0.363732,-0.657174,55.1282
531,167,2200,715,0.1685,3.03283,-0.771803,63.4204
532,30,199,1300,0.3296,10.5807,-0.180914,64.0351
533,162,2400,6300,0.2731,4.91667,0.800213,32.1343
534,718,1600,6800,0.014,0.447917,1.4703,79.5455
535,71,293,1100,0.1477,4.74023,-0.184275,80.6452
536,8,1100,7000,0.0421,1.35065,0.674,0.0
537,15,260,991,0.4937,15.8462,-0.802139,72.9167
538,395,27600,6900,0.0144,0.134058,-0.379939,32.7869
539,292,387,1500,0.0545,1.74799,1.24061,38.6364
540,146,953,2800,0.0449,1.4399,0.0567286,66.1417
541,2,1000,2000,1.0,50.0,0.6,98.4286
542,2900,1500,7500,0.0127,0.407407,2.71493,60.0
543,18,2200,5100,0.0746,1.34343,1.3484,73.8956
544,126,546,2900,0.0365,1.17013,-0.544008,61.5385
545,1000,7100,6700,0.0316,0.464789,-0.265393,71.5686
546,2900,914,2400,0.0301,0.966448,1.07833,13.7255
547,305,467,1800,0.1508,4.84178,0.0376478,48.4848
548,210,362,189,0.4638,14.8864,4.45756,14.7059
549,150,1300,7300,0.0369,1.18376,0.609,54.1284
550,114,186,379,0.1182,3.79331,-0.829111,72.5806
551,59,457,610,0.6357,20.4048,-0.0787464,24.7734
552,236,1300,7500,0.2913,9.35043,0.9923,57.161
553,1,258,2600,1.0,50.0,-0.279278,98.4375
554,66,1000,7276,0.2437,7.82222,1.4261,94.8995
555,247,1600,1100,0.1848,5.93056,0.7194,24.1784
556,72,939,1200,0.2287,7.34233,0.562379,18.1034
557,1233,794,1455,0.2069,6.64008,-0.0223,31.4516
558,529,534,519,0.6395,20.5264,1.06929,13.9205
559,97,601,583,0.5823,18.6911,0.433638,22.9282
560,645,5200,2300,1.0,16.6934,-0.673401,90.4469
561,85,370,235,0.4925,15.8108,0.0495737,31.0345
562,9,83,395,0.8966,28.7818,-0.2126,88.4298
563,98,290,1800,0.1772,5.68966,-0.370798,72.2222
564,1100,1400,2100,0.1659,5.3254,4.84131,16.3636
565,241,652,1300,0.1691,5.42774,2.73865,34.3434
566,129,236,152,0.4613,14.807,1.65344,26.7717
567,146,899,4742,0.5725,18.3784,0.243,58.9333
568,16,855,845,0.4129,13.2554,5.4823,13.5135
569,119,1700,1200,0.243,7.80066,1.10947,24.1313
570,394,639,502,0.4458,14.3106,1.48305,23.913
571,163,491,405,0.3814,12.2426,0.852878,37.931
572,46,630,314,0.3637,11.6755,-0.790306,0.0
573,42,399,920,0.5534,17.7632,3.06905,50.8197
574,12,304,136,0.0912,2.92763,10.0,71.4286
575,728,880,2300,0.1727,5.54293,0.0825219,56.2319
576,128,821,3700,0.1284,4.12099,-0.177611,25.4717
577,5,31,152,1.0,50.0,1.4586,93.3333
578,334,3600,2600,0.187,3.36601,1.3913,24.1966
579,2000,15600,409,0.067,0.723646,5.36076,19.3103
580,116,390,924,0.2214,7.10827,0.328325,37.1257
581,160,3300,7500,0.0533,0.959002,10.0,74.5958
582,447,1300,1400,0.1908,6.12393,0.7465,30.2395
583,1800,2800,2100,0.0256,0.460317,-0.604961,11.4943
584,7,43,25,0.7141,22.9236,-2.21293,50.0
585,185,10400,790,0.1472,1.58993,-0.336927,30.1775
586,55,1500,5200,0.1155,3.70741,1.2987,92.6782
587,21,1400,7300,0.074,2.37698,1.3793,79.5987
588,826,1000,694,0.0748,2.4,1.1569,6.6667
589,732,1300,2000,0.1681,5.39744,1.45349,49.3902
590,441,968,912,0.2862,9.18848,0.487074,16.4179
591,133,6200,1700,0.0238,0.349463,-2.42248,94.0379
592,196,649,2400,0.0261,0.838897,2.34794,32.5
593,62,767,552,0.6918,22.2077,10.0,62.1705
594,95,1500,3600,0.0198,0.637037,0.6767,80.4124
595,15,3000,5700,0.2816,5.06889,-0.582977,0.0
596,16,2600,993,0.3863,6.95384,0.705882,26.0563
597,118,245,100,0.2169,6.96145,4.10336,47.5728
598,372,7800,6947,0.0031,0.045584,1.4949,0.0
599,60,205,534,0.2668,8.56369,0.926784,96.5517
600,98,550,4300,0.2108,6.76768,0.500668,44.7674
601,3800,8500,7500,0.0141,0.207843,1.31704,13.7615
602,1100,3600,535,0.037,0.665123,1.02599,20.9302
603,198,1600,6400,0.1563,5.01875,10.0,42.3333
604,270,13000,911,1.0,50.0,-1.36867,76.9902
605,111,1000,3200,0.248,7.96111,0.0717154,47.1014
606,105,464,1200,0.4372,14.0326,0.904977,55.4878
607,2600,1500,932,0.1619,5.19629,1.4539,22.9314
608,3,1400,7300,0.9479,30.4286,0.9764,86.6242
609,49,2400,1400,0.5594,10.069,10.0,61.4206
610,225,1900,6400,0.0189,0.605263,0.968992,27.451
611,1700,16200,5900,0.2537,2.74006,10.0,15.5941
612,26,305,1200,0.2173,6.97632,1.23839,58.3333
613,50,164,316,0.3873,12.4322,1.40143,11.3924
614,100,158,162,0.2454,7.87623,4.0144,34.8485
615,67,957,2000,0.3496,11.2226,6.41026,55.3506
616,204,258,328,0.114,3.66064,-1.41146,65.9341
617,59,777,964,0.7847,25.1873,1.95934,30.3922
618,19,1400,1300,0.2277,7.30803,0.5393,21.3256
619,388,1900,2400,0.4228,13.5731,1.01626,26.087
620,19,664,1600,0.3607,11.5787,0.571581,37.8277
621,201,1200,7500,0.0287,0.921296,-1.3655,73.494
622,274,1900,7300,0.0105,0.336842,4.67836,0.0
623,1000,2600,5100,0.0398,0.715812,-0.653595,31.7308
624,7800,81300,6700,0.007,0.0526669,10.0,15.1163
625,159,933,1200,0.2426,7.7885,1.79891,76.8844
